,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
308562,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,MONTE NEGRO,Amazônia,4.0,0.0,0.78,-10.24446,-63.35234,4.7
308563,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,THEOBROMA,Amazônia,2.0,0.2,0.42,-10.14311,-62.48312,3.6
308564,2023-10-05 05:27:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53631,-61.48093,26.9
308565,2023-10-05 05:27:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53471,-61.47536,17.0
308566,2023-10-05 05:27:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53289,-61.50013,17.1
308567,2023-10-05 05:27:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53143,-61.49459,31.8
311631,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,6.0,0.0,0.23,-13.52981,-61.48752,37.8
311632,2023-10-06 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,3.3,0.45,-9.75593,-64.17246,24.1
311633,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.66,-12.46404,-63.46048,19.3
311634,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.68,-12.45405,-63.49162,30.5
311635,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.52,-12.45287,-63.4864,45.4
311636,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.68,-12.44915,-63.46328,52.3
311637,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.6,-12.44775,-63.4581,33.2
311638,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.37,-12.4334,-63.8899,56.8
311639,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.37,-12.43197,-63.89705,38.6
311640,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.36,-12.42745,-63.87067,18.2
311641,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.47,-11.79409,-64.85064,21.7
